Price,Close,High,Low,Open,Volume,SMA,EMA,RSI,MACD
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,
Date,,,,,,,,,
2018-01-22,41.49213790893555,41.67498433220892,41.398371796417685,41.5624642817979,108434400,41.15508134024484,41.270922827074514,68.89921543081232,0.35402746807797314
2018-01-23,41.50151443481445,42.064121859004125,41.4499455751214,41.56246562918012,130756400,41.23511859348842,41.30166837477317,68.99810108243476,0.34056757593891973
2018-01-24,40.8404541015625,41.56246462005955,40.60134586266364,41.55074296166244,204420400,41.26844024658203,41.240173138345085,56.473718368820535,0.27340680678493356
2018-01-25,40.111412048339844,41.01157962956729,39.97544867769382,40.908434756873895,166116000,41.23629079546247,41.08967165967772,44.57006057247942,0.15951502264043427
2018-01-26,40.20519256591797,40.32005913837438,39.86528580601339,40.32005913837438,156572000,41.17785426548549,40.97174111384309,39.16845876688017,0.07594679973983176
2018-01-29,39.37299728393555,39.88871811273601,39.1643646205002,39.88871811273601,202561600,41.07085909162249,40.75857526985542,33.19326076609907,-0.05677831818647405
2018-01-30,39.14092254638672,39.23468867207913,38.60879066186384,38.80335877077658,184192800,40.94762148175921,40.5428882400596,31.58173795053648,-0.17863127205643536
2018-01-31,39.248748779296875,39.485514121767004,39.030740952174725,39.11747478744508,129915600,40.832755770002095,40.3703363119579,33.18634579350537,-0.2634629036932665
2018-02-01,39.3307991027832,39.527710102026376,39.09169084544609,39.18780344398676,188923200,40.707174573625835,40.231731350734606,31.022527474789896,-0.32037868155006777
2018-02-02,37.62422180175781,39.101061129926585,37.53045570156668,38.91352535259687,346375200,40.42938668387277,39.884063410871036,17.122518111081305,-0.4974569966871982
2018-02-05,36.68421936035156,38.416575096607,36.56935279783622,37.296052906008704,290954000,40.099526269095286,39.457417537468444,15.243586276276318,-0.7055104925143638
2018-02-06,38.217315673828125,38.37906529853758,36.10051314382347,36.29508127376754,272975200,39.830447333199636,39.2920706223164,24.86714906994169,-0.7381770811327897
2018-02-07,37.3991813659668,38.30403826062876,37.28900779840522,38.2313689901966,206434400,39.5002509525844,39.039685388136455,22.068010790856164,-0.820622563086232
2018-02-08,36.370086669921875,37.74143850604499,36.34195754982027,37.57499953256489,217562000,39.109943117414204,38.68373889237451,20.030888916226672,-0.9579578017589085
2018-02-09,36.81494140625,37.1632948025491,35.36268058054797,36.97028950150967,282690400,38.775857652936665,38.434565894224576,24.63329870003048,-1.0191527499377173
2018-02-12,38.29780960083008,38.575549954605094,37.073858588541775,37.30688077719947,243278000,38.54702159336635,38.416331721771975,35.01913653008046,-0.9371917536447754
2018-02-13,38.68146896362305,38.77797343170304,38.048310583021724,38.11892369604445,130196800,38.392808369227815,38.45168335401879,39.635468229280555,-0.8316917446609011
2018-02-14,39.39466094970703,39.43467421626047,38.33783088391865,38.37548810497715,162579600,38.34161186218262,38.577413700110554,46.55388457387766,-0.6826642658587332
2018-02-15,40.71746063232422,40.740995941616454,39.77831451733618,39.96425890433248,204588800,38.37820243835449,38.86275329107238,52.20265444398591,-0.45260271358718285
2018-02-16,40.58564376831055,41.148192554732624,40.430299249571625,40.56916941260214,160704400,38.46482004438128,39.0924720213708,55.548321966319946,-0.27771249838308165
2018-02-20,40.449134826660156,41.01638500061634,40.34792186009505,40.49620903810648,135722000,38.55826377868652,39.273360395409384,56.03837769881712,-0.14841503739035034
2018-02-21,40.265541076660156,40.983430849870615,40.25141558148277,40.67979914689796,149886400,38.63089179992676,39.405651152909485,54.660657757982776,-0.06006792365084834
2018-02-22,40.60212326049805,40.94341575220747,40.416178884970336,40.43736173948644,123967600,38.72170066833496,39.565180767254624,55.69447785839653,0.03668429606545942
2018-02-23,41.30824279785156,41.34354755166451,40.84690699601769,40.87750684367652,135249600,38.9848450251988,39.79758903800088,68.12588025789867,0.1683978866170861
2018-02-26,42.125,42.223856918735805,41.47536728050816,41.50831958675342,152648800,39.37347221374512,40.10791049960076,77.09801024743092,0.33482765161818406
2018-02-27,41.98847198486328,42.48040400449576,41.934336836057554,42.15558952013026,155712400,39.6428405216762,40.358652030969104,71.81748442563544,0.45051451869796466
2018-02-28,41.924922943115234,42.51335944789299,41.908448588577784,42.193249845632636,151128400,39.9661077771868,40.567488152588595,78.68778569397399,0.5309488697042326
2018-03-01,41.1905632019043,42.31565372661089,40.63978739020082,42.023787871542986,195208000,40.31042752947126,40.65056482583069,81.7421071695732,0.529335132650111
2018-03-02,41.47536087036133,41.49654372291683,40.590350053929036,40.67273260257573,153816000,40.64331463405064,40.76053763176811,81.34896135641304,0.5447574018703847
2018-03-05,41.618953704833984,41.83549798498244,41.07759120869651,41.240000316691024,113605600,40.88053921290806,40.874993108176895,77.24993552296509,0.5620870138171838
2018-03-06,41.58362579345703,41.95551805347011,41.45652510304975,41.87549155982364,95154000,41.08783612932478,40.969477466214244,75.2558003658322,0.5664406141349687
2018-03-07,41.1976203918457,41.39062930858743,41.018736969513085,41.17643753752969,126814000,41.21661894662039,40.9998965229651,66.63756657525953,0.5326039371712525
2018-03-08,41.647193908691406,41.6895596245667,41.20704443328036,41.303545316618205,95096400,41.28302846636091,41.08620284106195,60.22783543744975,0.5358875740885551
2018-03-09,42.362728118896484,42.36743661748297,41.753108642868185,41.88727391609229,128740800,41.40996306283133,41.25640621143989,67.32446158102837,0.5894328952898249
2018-03-12,42.772274017333984,42.9299745735784,42.416859652502374,42.43568646057892,128828400,41.575901576450896,41.45852191889244,71.50311390633352,0.6573375018580236
2018-03-13,42.36036682128906,43.191238867493816,42.188544369842795,42.97704712067932,126774000,41.725531986781526,41.57876790587866,68.60354030508469,0.6701893973268724
2018-03-14,42.000247955322266,42.48982759809608,41.85196079476881,42.44275339219184,117473600,41.82539803641183,41.63496524580447,62.36465041212127,0.6438936292857207
2018-03-15,42.049678802490234,42.42392721680228,41.91316466923111,42.01437404242875,90975200,41.87835775102888,41.69026038669591,57.418769242278856,0.6198969141639097
2018-03-16,41.90138626098633,42.16029615966206,41.80723426839683,42.049669813076456,157618800,41.86238534109933,41.71841050326797,47.416998396942994,0.5822021122343841
2018-03-19,41.26117706298828,41.77193962497624,40.875162778781466,41.73663486391824,133787200,41.81043570382254,41.65744604456401,42.474564710786076,0.49496354664036346
2018-03-20,41.24704360961914,41.614227387941526,41.17643051574226,41.24704360961914,78597600,41.76201575142996,41.6027257199047,42.913406551336344,0.4198461779245477
2018-03-21,40.3126220703125,41.211751471864225,40.31026602495378,41.19998201966833,148219600,41.69930567060198,41.43071189995908,41.19044429218326,0.281668217214758
2018-03-22,39.743003845214844,40.64448542985486,39.68416019344019,40.01368320676567,165963200,41.57556588309152,41.205684159326516,33.556835076280024,0.12475960648316686
2018-03-23,38.82270050048828,39.99486540749828,38.82270050048828,39.63474243250405,164115200,41.37583351135254,40.88795300481475,26.869143690569132,-0.07301076397114059
2018-03-26,40.66568374633789,40.74335782034103,39.1757616174395,39.55942348830978,150164800,41.3102662222726,40.8583171036845,44.15478229185644,-0.08010842190635259
2018-03-27,39.622962951660156,41.225863550656555,39.28873141985822,40.87986256946427,163690400,41.19779069083078,40.693603216747924,40.74688112102555,-0.16793635494206427
2018-03-28,39.1851692199707,40.0183974601968,38.8815375134174,39.36640869913229,166674000,41.02193178449358,40.4924786838443,35.512410878671986,-0.2697573254616046
2018-03-29,39.491146087646484,40.42558344201287,39.284015311404765,39.49820703760645,153594000,40.81681878226144,40.35896767101792,32.246690923635825,-0.3220490214619005
2018-04-02,39.232234954833984,39.764183827052186,38.712059121958525,39.22282155150351,150347200,40.56395884922573,40.2087366421934,27.69863356067269,-0.38000210417695257
2018-04-03,39.634735107421875,39.719470120673925,38.808571421863356,39.45820412910777,121112000,40.36927086966379,40.13220310422387,32.80882180274132,-0.3889681584717408
2018-04-04,40.392642974853516,40.486791396247085,38.782681264911915,38.80857261952495,138422000,40.254441942487446,40.16692842030782,40.34495019707643,-0.33110027245777474
2018-04-05,40.67274475097656,41.00932881388538,40.503274696851165,40.620962034908665,107732800,40.15608951023647,40.23437059773032,41.95328219946666,-0.2596446614175534
2018-04-06,39.632381439208984,40.597415269493986,39.59001213811566,40.24200087033369,140021200,39.99401773725237,40.15410537659414,37.992071778746265,-0.2836939521519142
2018-04-09,40.02545928955078,40.74099663345534,39.978385078634915,39.98544603069569,116070800,39.905752182006836,40.136952564988356,43.28473617481046,-0.26794637190624826
2018-04-10,40.77865219116211,40.955183153028614,40.373807564625736,40.71980853720661,113634400,39.872295652117046,40.22251251514486,47.643876181170505,-0.19247123999655003
2018-04-11,40.5880012512207,40.93635469352344,40.413822734303444,40.53857099928074,89726400,39.89196559361049,40.271244346621636,51.4972603427299,-0.14635351943589825
2018-04-12,40.98814392089844,41.19056627597308,40.72923035340795,40.81632142149058,91557200,39.98090417044504,40.36683095652521,56.89703990574219,-0.07663334284644208
2018-04-13,41.12700653076172,41.388272503790546,40.91987930647764,41.138775980120656,100497200,40.14549745832171,40.46818769975675,63.97364517684159,-0.010058599229182619
2018-04-16,41.38357162475586,41.470659093730326,41.1505494342852,41.19762364477054,86313600,40.19677516392299,40.59023888975663,55.39054604951087,0.06268245924233184
2018-04-17,41.95317459106445,42.11793611080051,41.52243859491263,41.541268995958426,106421600,40.36321885245187,40.77196364993101,68.83562509751587,0.16439740026608263
2018-04-18,41.8590202331543,42.08968993935178,41.63306261636813,41.85195928210045,83018000,40.55420821053641,40.91690452769412,72.88468168687412,0.2347042297788562
2018-04-19,40.67274475097656,41.282364300146575,40.63979243998177,40.89870242878873,139235200,40.63860811505999,40.88434989079845,58.78863678794788,0.1924815736418708
